,loss,accuracy,val_loss,val_accuracy
0,0.7858375310897827,0.46562498807907104,0.7726467251777649,0.47999998927116394
1,0.7504829168319702,0.48750001192092896,0.7493681311607361,0.4749999940395355
2,0.7335779666900635,0.4918749928474426,0.7309116125106812,0.4950000047683716
3,0.7254908680915833,0.503125011920929,0.7160891890525818,0.5224999785423279
4,0.7062137722969055,0.5406249761581421,0.7031239867210388,0.5350000262260437
5,0.6963179111480713,0.5487499833106995,0.6913279891014099,0.550000011920929
6,0.6828975677490234,0.5625,0.6800397634506226,0.5699999928474426
7,0.6768995523452759,0.5824999809265137,0.6697885990142822,0.5899999737739563
8,0.6682692766189575,0.5956249833106995,0.6597442626953125,0.6150000095367432
9,0.6468358039855957,0.6212499737739563,0.6503254771232605,0.637499988079071
10,0.6479762196540833,0.6268749833106995,0.6412878632545471,0.6549999713897705
11,0.6363940238952637,0.6462500095367432,0.6325574517250061,0.6775000095367432
12,0.6313331723213196,0.6543750166893005,0.6245549917221069,0.6850000023841858
13,0.6187765598297119,0.6700000166893005,0.6166813373565674,0.6850000023841858
14,0.6140733957290649,0.6931250095367432,0.6090531945228577,0.6949999928474426
15,0.598476767539978,0.7018749713897705,0.601855456829071,0.7074999809265137
16,0.5913024544715881,0.7006250023841858,0.5950803160667419,0.7250000238418579
17,0.5918511748313904,0.7074999809265137,0.5881554484367371,0.7325000166893005
18,0.585523784160614,0.7200000286102295,0.5815228819847107,0.7425000071525574
19,0.5706844925880432,0.7400000095367432,0.575498640537262,0.75
20,0.5670719742774963,0.7318750023841858,0.5694621801376343,0.7599999904632568
21,0.5644491314888,0.7356250286102295,0.563759982585907,0.7674999833106995
22,0.558382511138916,0.7549999952316284,0.5581908226013184,0.7699999809265137
23,0.5481206774711609,0.7631250023841858,0.5528464317321777,0.7724999785423279
24,0.5480830669403076,0.7674999833106995,0.5477350950241089,0.7749999761581421
25,0.5435559749603271,0.7668750286102295,0.5425316095352173,0.7825000286102295
26,0.544345498085022,0.7724999785423279,0.5376344323158264,0.7900000214576721
27,0.530626118183136,0.7774999737739563,0.5332164168357849,0.7875000238418579
28,0.5345251560211182,0.7618749737739563,0.5287171006202698,0.7950000166893005
29,0.5309954881668091,0.7699999809265137,0.5243176817893982,0.800000011920929
30,0.5208804607391357,0.7881249785423279,0.5199671983718872,0.8075000047683716
31,0.5177993774414062,0.7906249761581421,0.5160215497016907,0.8125
32,0.5105016231536865,0.7931249737739563,0.5119948983192444,0.8149999976158142
33,0.5036293268203735,0.7987499833106995,0.5082193613052368,0.8149999976158142
34,0.5099527835845947,0.7881249785423279,0.504446268081665,0.8149999976158142
35,0.5050416588783264,0.7912499904632568,0.5010141730308533,0.8149999976158142
36,0.4957544803619385,0.8056250214576721,0.4974992275238037,0.8174999952316284
37,0.4869045317173004,0.8056250214576721,0.4938005805015564,0.8199999928474426
38,0.49222370982170105,0.8062499761581421,0.49061185121536255,0.8199999928474426
39,0.4864431321620941,0.8100000023841858,0.4875098168849945,0.8199999928474426
